"arm","engine","repetition","status","validator_calls","validator_sec","cold_sec","warm_sec","snapshot_prepare_sec","setup_sec","engine_sec","results_sec","semantic_sha256","peak_ws_mib","sampled_wall_sec","killed","child_exit","measured"
"current","canonical","warmup","DONE",1,14.59,68.06,47.69,20.37,16.71,30.94,0.039999999999992,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",851.25390625,68.0749308,"",0,FALSE
"candidate","canonical","warmup","DONE",1,0.0100000000000016,54.41,34.07,20.34,2.19,31.84,0.0400000000000063,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",942.6796875,54.5403241,"",0,FALSE
"current","compiled","warmup","DONE",1,14.8,52.95,32.45,20.5,16.94,15.47,0.0399999999999991,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",939.76953125,52.9652747,"",0,FALSE
"candidate","compiled","warmup","DONE",1,0.0199999999999996,38.32,17.62,20.7,2.19,15.43,0,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",930.609375,38.368136,"",0,FALSE
"current","compiled","run1","DONE",1,14.59,52.84,32.28,20.56,16.74,15.52,0.019999999999996,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",925.90234375,52.9650568,"",0,TRUE
"candidate","compiled","run1","DONE",1,0,38.59,17.67,20.92,2.18,15.46,0.029999999999994,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",944.6328125,38.7378299,"",0,TRUE
"current","canonical","run1","DONE",1,14.78,68.97,48.31,20.66,16.88,31.39,0.0400000000000205,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",840.73828125,69.1031217,"",0,TRUE
"candidate","canonical","run1","DONE",1,0.0300000000000011,54.45,33.98,20.47,2.17,31.8,0.00999999999999801,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",921.5703125,54.5560628,"",0,TRUE
"candidate","canonical","run2","DONE",1,0.0199999999999996,54.57,34.11,20.46,2.16,31.94,0.00999999999999801,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",949.66796875,54.6105006,"",0,TRUE
"current","canonical","run2","DONE",1,14.81,69.23,48.48,20.75,16.94,31.52,0.0199999999999818,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",852.86328125,69.3677652,"",0,TRUE
"candidate","compiled","run2","DONE",1,0.0100000000000016,38.14,17.43,20.71,2.18,15.25,0,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",931.171875,38.2285685,"",0,TRUE
"current","compiled","run2","DONE",1,14.73,53.06,32.45,20.61,16.88,15.54,0.0300000000000011,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",927.0625,53.1244884,"",0,TRUE
"current","compiled","run3","DONE",1,14.64,52.79,32.12,20.67,16.75,15.33,0.0399999999999991,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",931.67578125,52.9022628,"",0,TRUE
"candidate","compiled","run3","DONE",1,0.0199999999999996,37.77,17.3,20.47,2.15,15.13,0.019999999999996,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",947.71484375,37.7618542,"",0,TRUE
"current","canonical","run3","DONE",1,14.58,68.72,48.19,20.53,16.68,31.47,0.0400000000000063,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",839.6953125,68.6972147,"",0,TRUE
"candidate","canonical","run3","DONE",1,0.0199999999999996,55.73,35.11,20.62,2.15,32.92,0.0399999999999991,"e3bf4f03afdc4c133847f39685434e7f05b999731638d28e1715d1b7307b36a4",939.17578125,55.7556831,"",0,TRUE
