"label","profile","frame","total.time","total.pct","self.time","self.pct"
"baseline","by_total","""main""",34.82,100,0,0
"baseline","by_total","""profile_reference_workload""",34.82,100,0,0
"baseline","by_total","""withCallingHandlers""",34.81,99.97,0.07,0.2
"baseline","by_total","""suppressWarnings""",34.81,99.97,0.03,0.09
"baseline","by_total","""ledgr_sweep""",34.81,99.97,0,0
"baseline","by_total","""tryCatchOne""",34.68,99.6,0.18,0.52
"baseline","by_total","""tryCatch""",34.68,99.6,0.17,0.49
"baseline","by_total","""doTryCatch""",34.68,99.6,0.15,0.43
"baseline","by_total","""tryCatchList""",34.68,99.6,0.09,0.26
"baseline","by_total","""ledgr_sweep_run_candidate""",33.49,96.18,0,0
"baseline","by_total","""ledgr_execute_fold""",27.78,79.78,0,0
"baseline","by_total","""fn""",27.62,79.32,2.68,7.7
"baseline","by_total","""output_handler$run_transaction""",27.62,79.32,0,0
"baseline","by_total","""ledgr_update_pulse_context_helpers""",10.59,30.41,0.12,0.34
"baseline","by_total","""ledgr_attach_feature_helpers""",9,25.85,0.08,0.23
"baseline","by_total","""data.frame""",8.34,23.95,1.63,4.68
"baseline","by_total","""ledgr_features_wide""",7.78,22.34,0.36,1.03
"baseline","by_total","""vapply""",5.71,16.4,0.4,1.15
"baseline","by_total","""FUN""",5.19,14.91,0.57,1.64
"baseline","by_total","""as.data.frame""",4.58,13.15,0.51,1.46
"baseline","by_self","""fn""",27.62,79.32,2.68,7.7
"baseline","by_self","""data.frame""",8.34,23.95,1.63,4.68
"baseline","by_self","""$<-.data.frame""",1.88,5.4,1.3,3.73
"baseline","by_self","""stopifnot""",1.24,3.56,1.21,3.48
"baseline","by_self","""%in%""",2.79,8.01,0.93,2.67
"baseline","by_self","""$""",0.96,2.76,0.89,2.56
"baseline","by_self","""$<-""",2.75,7.9,0.87,2.5
"baseline","by_self","""deparse""",2.36,6.78,0.78,2.24
"baseline","by_self","""format.POSIXlt""",1.09,3.13,0.77,2.21
"baseline","by_self","""[[.data.frame""",1.73,4.97,0.67,1.92
"baseline","by_self","""length""",0.62,1.78,0.62,1.78
"baseline","by_self","""FUN""",5.19,14.91,0.57,1.64
"baseline","by_self","""[[""",2.49,7.15,0.57,1.64
"baseline","by_self","""as.list""",0.82,2.35,0.57,1.64
"baseline","by_self","""structure""",1.85,5.31,0.55,1.58
"baseline","by_self",""".deparseOpts""",1.1,3.16,0.55,1.58
"baseline","by_self","""as.data.frame""",4.58,13.15,0.51,1.46
"baseline","by_self","""unique""",0.87,2.5,0.46,1.32
"baseline","by_self","""vapply""",5.71,16.4,0.4,1.15
"baseline","by_self","""names""",0.38,1.09,0.38,1.09
