"label","profile","frame","total.time","total.pct","self.time","self.pct"
"manual_profile","by_total","""main""",28.78,100,0,0
"manual_profile","by_total","""profile_reference_workload""",28.78,100,0,0
"manual_profile","by_total","""withCallingHandlers""",28.77,99.97,0.1,0.35
"manual_profile","by_total","""suppressWarnings""",28.77,99.97,0.02,0.07
"manual_profile","by_total","""ledgr_sweep""",28.77,99.97,0,0
"manual_profile","by_total","""tryCatch""",28.45,98.85,0.15,0.52
"manual_profile","by_total","""tryCatchList""",28.45,98.85,0.07,0.24
"manual_profile","by_total","""doTryCatch""",28.43,98.78,0.15,0.52
"manual_profile","by_total","""tryCatchOne""",28.43,98.78,0.15,0.52
"manual_profile","by_total","""ledgr_sweep_run_candidate""",27.25,94.68,0.01,0.03
"manual_profile","by_total","""ledgr_execute_fold""",21.66,75.26,0,0
"manual_profile","by_total","""fn""",14.01,48.68,1.06,3.68
"manual_profile","by_total","""output_handler$run_transaction""",14.01,48.68,0,0
"manual_profile","by_total","""data.frame""",11.92,41.42,1.87,6.5
"manual_profile","by_total","""ledgr_projection_pulse_views""",7.5,26.06,0.03,0.1
"manual_profile","by_total","""as.data.frame""",6.78,23.56,0.76,2.64
"manual_profile","by_total","""ledgr_fills_from_events""",4.18,14.52,0.08,0.28
"manual_profile","by_total","""ledgr_fill_event_row""",3.98,13.83,0.05,0.17
"manual_profile","by_total","""ledgr_projection_features_wide""",3.91,13.59,0.36,1.25
"manual_profile","by_total","""deparse1""",3.88,13.48,0.12,0.42
"manual_profile","by_self","""data.frame""",11.92,41.42,1.87,6.5
"manual_profile","by_self","""deparse""",3.42,11.88,1.1,3.82
"manual_profile","by_self","""fn""",14.01,48.68,1.06,3.68
"manual_profile","by_self","""stopifnot""",1.12,3.89,1.03,3.58
"manual_profile","by_self","""%in%""",2.86,9.94,0.95,3.3
"manual_profile","by_self",""".deparseOpts""",1.49,5.18,0.79,2.74
"manual_profile","by_self","""as.data.frame""",6.78,23.56,0.76,2.64
"manual_profile","by_self","""structure""",1.34,4.66,0.76,2.64
"manual_profile","by_self","""make.names""",1.3,4.52,0.6,2.08
"manual_profile","by_self","""ledgr_update_fast_pulse_context_helpers""",1.74,6.05,0.54,1.88
"manual_profile","by_self","""as.list""",0.63,2.19,0.51,1.77
"manual_profile","by_self","""FUN""",3.28,11.4,0.49,1.7
"manual_profile","by_self","""paste""",3.82,13.27,0.4,1.39
"manual_profile","by_self","""length""",0.38,1.32,0.38,1.32
"manual_profile","by_self","""ledgr_projection_features_wide""",3.91,13.59,0.36,1.25
"manual_profile","by_self","""$""",0.42,1.46,0.36,1.25
"manual_profile","by_self","""names""",0.35,1.22,0.35,1.22
"manual_profile","by_self","""vapply""",3.12,10.84,0.34,1.18
"manual_profile","by_self","""unique""",0.43,1.49,0.34,1.18
"manual_profile","by_self","""anyDuplicated""",0.4,1.39,0.34,1.18
