"label","profile","frame","total.time","total.pct","self.time","self.pct"
"post_change","by_total","""withCallingHandlers""",30.3,100,0.11,0.36
"post_change","by_total","""suppressWarnings""",30.3,100,0.03,0.1
"post_change","by_total","""ledgr_sweep""",30.3,100,0.01,0.03
"post_change","by_total","""main""",30.3,100,0,0
"post_change","by_total","""profile_reference_workload""",30.3,100,0,0
"post_change","by_total","""doTryCatch""",30.13,99.44,0.2,0.66
"post_change","by_total","""tryCatchOne""",30.13,99.44,0.17,0.56
"post_change","by_total","""tryCatch""",30.13,99.44,0.13,0.43
"post_change","by_total","""tryCatchList""",30.13,99.44,0.08,0.26
"post_change","by_total","""ledgr_sweep_run_candidate""",29.94,98.81,0,0
"post_change","by_total","""ledgr_execute_fold""",24.36,80.4,0,0
"post_change","by_total","""fn""",24.22,79.93,2.06,6.8
"post_change","by_total","""output_handler$run_transaction""",24.22,79.93,0,0
"post_change","by_total","""data.frame""",9.32,30.76,1.59,5.25
"post_change","by_total","""ledgr_update_pulse_context_helpers""",7.98,26.34,0.09,0.3
"post_change","by_total","""ledgr_attach_feature_helpers""",6.15,20.3,0.3,0.99
"post_change","by_total","""as.data.frame""",5.36,17.69,0.63,2.08
"post_change","by_total","""ledgr_projection_features_wide""",4.86,16.04,0.29,0.96
"post_change","by_total","""ledgr_fills_from_events""",4.15,13.7,0.14,0.46
"post_change","by_total","""ledgr_fill_event_row""",3.73,12.31,0.11,0.36
"post_change","by_self","""fn""",24.22,79.93,2.06,6.8
"post_change","by_self","""data.frame""",9.32,30.76,1.59,5.25
"post_change","by_self","""$<-.data.frame""",1.93,6.37,1.35,4.46
"post_change","by_self","""$""",1.29,4.26,1.26,4.16
"post_change","by_self","""deparse""",2.72,8.98,0.98,3.23
"post_change","by_self","""$<-""",2.85,9.41,0.92,3.04
"post_change","by_self","""as.data.frame""",5.36,17.69,0.63,2.08
"post_change","by_self","""%in%""",2.28,7.52,0.6,1.98
"post_change","by_self","""structure""",1.16,3.83,0.57,1.88
"post_change","by_self","""as.list""",0.64,2.11,0.55,1.82
"post_change","by_self","""stopifnot""",0.57,1.88,0.52,1.72
"post_change","by_self",""".deparseOpts""",1.14,3.76,0.49,1.62
"post_change","by_self","""length""",0.44,1.45,0.44,1.45
"post_change","by_self","""unique""",0.53,1.75,0.39,1.29
"post_change","by_self","""make.names""",1.05,3.47,0.37,1.22
"post_change","by_self","""FUN""",1.94,6.4,0.36,1.19
"post_change","by_self","""names""",0.36,1.19,0.36,1.19
"post_change","by_self","""paste""",3.07,10.13,0.35,1.16
"post_change","by_self","""vapply""",1.87,6.17,0.33,1.09
"post_change","by_self","""grepl""",0.33,1.09,0.33,1.09
