"label","profile","frame","total.time","total.pct","self.time","self.pct"
"post_ldg_2413_split_profile","by_total","""withCallingHandlers""",21.55,100,0.09,0.42
"post_ldg_2413_split_profile","by_total","""ledgr_sweep""",21.55,100,0,0
"post_ldg_2413_split_profile","by_total","""main""",21.55,100,0,0
"post_ldg_2413_split_profile","by_total","""profile_reference_workload""",21.55,100,0,0
"post_ldg_2413_split_profile","by_total","""suppressWarnings""",21.55,100,0,0
"post_ldg_2413_split_profile","by_total","""doTryCatch""",21.32,98.93,0.13,0.6
"post_ldg_2413_split_profile","by_total","""tryCatch""",21.32,98.93,0.12,0.56
"post_ldg_2413_split_profile","by_total","""tryCatchOne""",21.32,98.93,0.11,0.51
"post_ldg_2413_split_profile","by_total","""tryCatchList""",21.32,98.93,0.02,0.09
"post_ldg_2413_split_profile","by_total","""ledgr_sweep_run_candidate""",20.13,93.41,0,0
"post_ldg_2413_split_profile","by_total","""ledgr_execute_fold""",14.53,67.42,0,0
"post_ldg_2413_split_profile","by_total","""fn""",13.02,60.42,1.03,4.78
"post_ldg_2413_split_profile","by_total","""output_handler$run_transaction""",13.02,60.42,0,0
"post_ldg_2413_split_profile","by_total","""data.frame""",5.18,24.04,0.54,2.51
"post_ldg_2413_split_profile","by_total","""ledgr_fills_from_events""",4.15,19.26,0.09,0.42
"post_ldg_2413_split_profile","by_total","""FUN""",3.91,18.14,0.37,1.72
"post_ldg_2413_split_profile","by_total","""output_handler$buffer_event""",3.59,16.66,0.01,0.05
"post_ldg_2413_split_profile","by_total","""handler$append_event_rows""",3.58,16.61,0.07,0.32
"post_ldg_2413_split_profile","by_total","""as.data.frame""",3.55,16.47,0.34,1.58
"post_ldg_2413_split_profile","by_total","""ledgr_fill_event_row""",3.44,15.96,0.06,0.28
"post_ldg_2413_split_profile","by_self","""fn""",13.02,60.42,1.03,4.78
"post_ldg_2413_split_profile","by_self","""stopifnot""",0.77,3.57,0.72,3.34
"post_ldg_2413_split_profile","by_self","""[.data.frame""",2.22,10.3,0.67,3.11
"post_ldg_2413_split_profile","by_self","""deparse""",1.78,8.26,0.67,3.11
"post_ldg_2413_split_profile","by_self","""%in%""",2.02,9.37,0.66,3.06
"post_ldg_2413_split_profile","by_self","""data.frame""",5.18,24.04,0.54,2.51
"post_ldg_2413_split_profile","by_self","""ledgr_update_fast_pulse_context_helpers""",1.62,7.52,0.49,2.27
"post_ldg_2413_split_profile","by_self","""structure""",0.88,4.08,0.48,2.23
"post_ldg_2413_split_profile","by_self","""[[.data.frame""",1.19,5.52,0.4,1.86
"post_ldg_2413_split_profile","by_self","""rbind""",1.02,4.73,0.39,1.81
"post_ldg_2413_split_profile","by_self","""paste""",2.16,10.02,0.38,1.76
"post_ldg_2413_split_profile","by_self","""FUN""",3.91,18.14,0.37,1.72
"post_ldg_2413_split_profile","by_self","""unique""",0.47,2.18,0.36,1.67
"post_ldg_2413_split_profile","by_self",""".deparseOpts""",0.72,3.34,0.35,1.62
"post_ldg_2413_split_profile","by_self","""grepl""",0.35,1.62,0.35,1.62
"post_ldg_2413_split_profile","by_self","""as.data.frame""",3.55,16.47,0.34,1.58
"post_ldg_2413_split_profile","by_self","""vapply""",2.7,12.53,0.33,1.53
"post_ldg_2413_split_profile","by_self","""make.names""",0.6,2.78,0.32,1.48
"post_ldg_2413_split_profile","by_self","""length""",0.29,1.35,0.29,1.35
"post_ldg_2413_split_profile","by_self","""names""",0.28,1.3,0.28,1.3
