"label","profile","frame","total.time","total.pct","self.time","self.pct"
"post_change","by_total","""profile_reference_workload""",17.09,100,0.01,0.06
"post_change","by_total","""main""",17.09,100,0,0
"post_change","by_total","""withCallingHandlers""",17.08,99.94,0.1,0.59
"post_change","by_total","""suppressWarnings""",17.08,99.94,0.03,0.18
"post_change","by_total","""ledgr_sweep""",17.08,99.94,0,0
"post_change","by_total","""tryCatchOne""",16.88,98.77,0.18,1.05
"post_change","by_total","""tryCatch""",16.88,98.77,0.15,0.88
"post_change","by_total","""doTryCatch""",16.88,98.77,0.11,0.64
"post_change","by_total","""tryCatchList""",16.88,98.77,0.07,0.41
"post_change","by_total","""ledgr_sweep_run_candidate""",16.58,97.02,0,0
"post_change","by_total","""ledgr_execute_fold""",10.79,63.14,0,0
"post_change","by_total","""fn""",9.03,52.84,1.52,8.89
"post_change","by_total","""output_handler$run_transaction""",9.03,52.84,0,0
"post_change","by_total","""ledgr_fills_from_events""",4.84,28.32,0.14,0.82
"post_change","by_total","""data.frame""",2.88,16.85,0.39,2.28
"post_change","by_total","""[""",2.65,15.51,0.11,0.64
"post_change","by_total","""ledgr_update_fast_pulse_context_helpers""",2.1,12.29,0.67,3.92
"post_change","by_total","""lapply""",1.87,10.94,0.13,0.76
"post_change","by_total","""as.data.frame""",1.85,10.83,0.29,1.7
"post_change","by_total","""FUN""",1.84,10.77,0.16,0.94
"post_change","by_self","""fn""",9.03,52.84,1.52,8.89
"post_change","by_self","""[.data.frame""",1.78,10.42,0.75,4.39
"post_change","by_self","""ledgr_update_fast_pulse_context_helpers""",2.1,12.29,0.67,3.92
"post_change","by_self","""%in%""",1.24,7.26,0.44,2.57
"post_change","by_self","""append_event_row_list""",0.44,2.57,0.4,2.34
"post_change","by_self","""data.frame""",2.88,16.85,0.39,2.28
"post_change","by_self","""$""",0.39,2.28,0.34,1.99
"post_change","by_self","""as.data.frame""",1.85,10.83,0.29,1.7
"post_change","by_self","""<Anonymous>""",1.06,6.2,0.29,1.7
"post_change","by_self","""deparse""",0.95,5.56,0.29,1.7
"post_change","by_self","""structure""",0.69,4.04,0.29,1.7
"post_change","by_self","""stopifnot""",0.31,1.81,0.29,1.7
"post_change","by_self","""grepl""",0.3,1.76,0.29,1.7
"post_change","by_self",""".deparseOpts""",0.44,2.57,0.27,1.58
"post_change","by_self","""anyDuplicated""",0.34,1.99,0.27,1.58
"post_change","by_self","""names""",0.27,1.58,0.27,1.58
"post_change","by_self","""rbind""",0.57,3.34,0.25,1.46
"post_change","by_self","""[[""",1.26,7.37,0.24,1.4
"post_change","by_self","""[[.data.frame""",0.85,4.97,0.23,1.35
"post_change","by_self","""unique""",0.45,2.63,0.22,1.29
